Postcode,Regionname,Suburb,Type,Rooms,Bathroom,BuildingArea,YearBuilt,Price,zipcode,airbnb_price_mean,airbnb_record_count,airbnb_price_median,airbnb_weekly_price_mean,airbnb_monthly_price_mean
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,,,1480000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,79.0,1900.0,1035000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,2.0,150.0,1900.0,1465000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,2.0,,,850000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,4,1.0,142.0,2014.0,1600000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,,,941000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,2.0,210.0,1910.0,1876000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,107.0,1890.0,1636000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,u,1,1.0,,,300000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,75.0,1900.0,1097000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,u,2,2.0,,,700000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,2.0,190.0,2005.0,1350000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,u,2,2.0,94.0,2009.0,750000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,,,1172500.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,u,1,1.0,,,441000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,97.0,1890.0,1310000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,2.0,110.0,1880.0,1200000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,1.0,105.0,1890.0,1176500.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,1.0,,,955000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,73.0,1985.0,890000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,4,2.0,135.0,1900.0,1330000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,t,3,2.0,,2010.0,900000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,u,2,1.0,60.0,1970.0,500000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,2.0,135.0,2013.0,1100000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,1.0,85.0,1900.0,1315000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,u,1,1.0,,,426000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,3.0,174.0,2012.0,1447500.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,u,1,1.0,50.0,,457000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,2,2.0,128.0,1920.0,1135000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,4,3.0,,,1542000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
3067.0,Northern Metropolitan,Abbotsford,h,3,2.0,18.0,,1290000.0,3067.0,116.67460317460318,252.0,100.0,605.1521739130435,2187.032258064516
